ticker,company,industry,source_sector,source_industry,classification_source,source_url
INTT,inTest Corporation Common Stock,Semiconductors,Technology,Semiconductor Equipment & Materials,Current StockAnalysis company profile (2026),https://stockanalysis.com/stocks/intt/
AIRS,AirSculpt Technologies Inc. Common Stock,Healthcare Services,Health Care,Medical/Nursing Services,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
VERU,Veru Inc. Common Stock,Pharmaceuticals and Biotechnology,Health Care,Biotechnology: Pharmaceutical Preparations,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
FERG,Ferguson Enterprises Inc. Common Stock,Other Business Products and Services,Miscellaneous,Miscellaneous,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
TH,Target Hospitality Corp. Common Stock,"Restaurants, Hotels and Leisure",Consumer Discretionary,Hotels/Resorts,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
SGRY,Surgery Partners Inc. Common Stock,Healthcare Services,Health Care,Hospital/Nursing Management,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
CECO,CECO Environmental Corp. Common Stock,Commercial Products,Industrials,Pollution Control Equipment,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
AXSM,Axsome Therapeutics Inc. Common Stock,Pharmaceuticals and Biotechnology,Health Care,Biotechnology: Pharmaceutical Preparations,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
CEVA,CEVA Inc. Common Stock,Semiconductors,Technology,Semiconductors,Current StockAnalysis company profile (2026),https://stockanalysis.com/stocks/ceva/
AIOT,PowerFleet Inc. Common Stock,Software,Technology,Software - Infrastructure,Current StockAnalysis company profile (2026),https://stockanalysis.com/stocks/aiot/
QVCGA,QVC Group Inc. Series A Common Stock,Retail,Consumer Discretionary,Catalog/Specialty Distribution,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
NABL,N-able Inc. Common Stock,Software,Technology,Computer Software: Prepackaged Software,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
BBGI,Beasley Broadcast Group Inc. Class A Common Stock,Media,Consumer Discretionary,Broadcasting,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
SNDA,Sonida Senior Living Inc. Common Stock,Healthcare Services,Health Care,Hospital/Nursing Management,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
FSTR,L.B. Foster Company Common Stock,Commercial Products,Industrials,Metal Fabrications,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
HRTX,Heron Therapeutics Inc. Common Stock,Pharmaceuticals and Biotechnology,Health Care,Biotechnology: Pharmaceutical Preparations,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
IRON,Disc Medicine Inc. Common Stock,Pharmaceuticals and Biotechnology,Health Care,Biotechnology: Pharmaceutical Preparations,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
MPAA,Motorcar Parts  of America Inc. Common Stock,Consumer Durables,Consumer Discretionary,Auto Parts:O.E.M.,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
OPAL,OPAL Fuels Inc. Class A Common Stock,Other Energy,Utilities,Renewable natural gas production/distribution and fuel station services,Current StockAnalysis company profile (2026),https://stockanalysis.com/stocks/opal/
CNDT,Conduent Incorporated Common Stock,Commercial Services,Consumer Discretionary,Business Services,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
TLS,Telos Corporation Common Stock,IT Services,Technology,EDP Services,"Nasdaq-listed company classification, taxonomy-translated; current company profile checked/overridden where business identity changed or source category was ambiguous",https://www.nasdaq.com/market-activity/stocks/screener
