rule_id,events,average_prediction,confidence_counts
Q3-CAL-01,605,0.3679,"{'high': 310, 'medium': 295}"
Q3-CAL-02,481,0.1799,"{'medium': 275, 'high': 206}"
GLB-GUID-01,296,0.1165,"{'high': 140, 'medium': 156}"
GLB-QUAL-01,175,0.1904,"{'medium': 91, 'high': 84}"
Q3-CAL-03,152,0.3852,"{'high': 73, 'medium': 79}"
GLB-EXPECT-03,143,0.8703,"{'high': 112, 'medium': 31}"
GLB-TONE-01,140,0.1827,"{'medium': 79, 'high': 61}"
GLB-QUAL-02,103,0.0881,"{'high': 68, 'medium': 35}"
P5,91,0.2386,"{'medium': 61, 'high': 30}"
GLB-CAP-01,79,0.249,"{'medium': 49, 'high': 30}"
GLB-GUID-02,66,0.1248,"{'medium': 23, 'high': 43}"
P3,58,0.3022,"{'high': 23, 'medium': 35}"
GLB-CAP-03,46,0.2782,"{'medium': 13, 'high': 33}"
GLB-EXPECT-02,46,0.3932,"{'medium': 39, 'high': 7}"
P1,37,0.3049,"{'high': 14, 'medium': 23}"
GLB-QUAL-03,29,0.1541,"{'high': 19, 'medium': 10}"
GLB-EXPECT-01,28,0.285,"{'medium': 26, 'high': 2}"
GLB-GUID-04,27,0.7361,"{'medium': 23, 'high': 4}"
P6,27,0.2404,"{'high': 13, 'medium': 14}"
GLB-CAP-02,26,0.2085,"{'medium': 10, 'high': 16}"
P2,24,0.2767,"{'medium': 16, 'high': 8}"
P4,20,0.33,"{'medium': 12, 'high': 8}"
GLB-GUID-03,18,0.0428,"{'high': 16, 'medium': 2}"
GLB-QUAL-04,17,0.2029,"{'medium': 10, 'high': 7}"
GLB-TONE-02,5,0.04,"{'high': 4, 'medium': 1}"
